,application_id,candidate_titles,cos_sim_score,filtered_candidate_briefs,percentiles,candidate_country,id,status,application_stage,job_id
15,1013746,"['Associate; Commercial and Energy Contracts', 'Intern', 'Banking Consultant', 'Paralegal (Energy Team)', 'Energy Consultant', 'Assistant Partnerships Manager', 'Associate (Energy and Natural Resources Team)', 'Head Of Legal', 'General Counsel/Company Secretary']",0.464924961328506,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'account assistant'}",REJECT_20_TO_50,KE,1013746,PAUSED,CONTACTED,1000072.0
16,1013300,"['New Business Development Executive', 'Gas Business Analyst', 'Head Of Business Development', 'Lead Consultant', 'Senior Consultant', 'Business & Project Manager', 'Monitoring And Evaluation Consultant', 'Portfolio Director']",0.496429324150085,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Senior Management Trainee'}",ACCEPT_70_TO_100,NG,1013300,PAUSED,CONTACTED,1000072.0
17,1013592,"['Credit Manager', 'Regional Manager : Marketing and Life Distribution', 'Guest Columnist ', 'Director', 'Co-Founder', 'Visiting Lecturer', 'Strategy Consultant', 'Specialist - Advisory']",0.330492168664932,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Purchasing Administrative Assistant'}",ACCEPT_70_TO_100,KE,1013592,CLOSED,CONTACTED,1104.0
18,1020168,"['NHIF Compliance officer ', 'Health Program Manager', 'Regional Director  ARI EA ', 'CEO ', 'Founding Director/CEO ']",0.45393893122673,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'Internship'}",ACCEPT_70_TO_100,US,1020168,CLOSED,CONTACTED,1000171.0
19,1018390,"['Regional Director of Sales And Marketing', 'Regional Director of Sales And Marketing']",0.114557735621929,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'FUND TRANSFER OFFICER'}",REJECT_BOTTOM_20,NG,1018390,CLOSED,CONTACTED,1000163.0
20,1018474,"['Regional Manager', 'Horticulture Manager', 'Senior Consultant(Crop production/Agronomy)']",0.465577453374862,"{'data': {'extra': None, 'state': 'kwazulu-natal', 'country': 'ZA'}, 'most_recent_title': 'administrator'}",REJECT_50_TO_70,ZA,1018474,PAUSED,SHORTLISTED,1000155.0
21,1018735,"['Senior Sales Executive', 'Proprietor ', 'Project Development Manager', 'Associate Consultant', 'Project Manager', 'Country Manager-Kenya']",0.215288639068603,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Class Teacher'}",REJECT_20_TO_50,NG,1018735,CLOSED,CONTACTED,1000168.0
22,1018886,"['Frontend Web Developer', 'Junior Software Developer', 'Full-stack Developer', 'Full Stack Developer', 'Senior Software Developer']",0.387628734111785,"{'data': {'extra': None, 'state': 'gauteng', 'country': 'ZA'}, 'most_recent_title': 'bookkeeper'}",ACCEPT_70_TO_100,ZA,1018886,ACTIVE,SCREENING,1000116.0
23,1018503,"['Intern', 'Officer - Funds Transfer Department', 'Officer - Treasury Back Office ', 'Supervisor - Treasury Back Office ', 'Assistant Manager', 'HEAD - AML/CFT & TRANSACTION MONITORING', 'Project Manager', 'Project Manager & Business Analyst - Finance']",0.191546663641929,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Administrative Assistant'}",REJECT_20_TO_50,KE,1018503,CLOSED,SCREENING,1000169.0
24,1018519,"['Junior Consultant', 'ENROLLMENT SPECIALIST ', 'Enrollment Specialist']",0.270624160766601,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Finance Intern'}",REJECT_50_TO_70,ZA,1018519,CLOSED,SCREENING,1000169.0
25,1018540,"['travels accounting, invoicing']",0.164399147033691,"{'data': {'extra': None, 'state': None, 'country': 'EG'}, 'most_recent_title': 'Freelancer'}",REJECT_BOTTOM_20,EG,1018540,CLOSED,SCREENING,1000169.0
26,1019446,"['Operations Administrator', 'Private Equity Research Intern', 'Private Equity Research Analyst', 'Investment Analyst', 'Senior Investment Analyst', 'Chief Of Staff', 'Product Manager']",0.565986454486846,"{'data': {'extra': None, 'state': 'Western Cape', 'country': 'ZA'}, 'most_recent_title': 'Finance Intern'}",ACCEPT_70_TO_100,ZA,1019446,CLOSED,SHORTLISTED,1000161.0
27,1018420,"['Educator', 'Graduate Student', 'Internship', 'Teaching', 'Learning disabilities teacher']",0.09643980115652,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Management Information Analyst - Collections and Recoveries'}",REJECT_BOTTOM_20,KE,1018420,CLOSED,SCREENING,1000163.0
28,1018881,"['Program Manager', 'Marketing Manager', 'National Malaria Manager', 'Program Manager', 'Executive Director (Africa)', 'Deputy Director, Social Marketing & Company Pharmacist', 'Manager, Programs & Business Development ', 'Senior Advisor, Government Relations', 'Manager, Partnerships & Resource Mobilization', 'Vice-Chair,  Advisory Board ']",0.455248892307281,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Business Development Executive'}",ACCEPT_70_TO_100,NG,1018881,CLOSED,CONTACTED,1000171.0
29,1018998,"['Computer Services Support, Networking and Security Intern', 'Solutions Architect', 'Inductee', 'Software Developer', 'Software Engineer', 'Software Engineer', 'Software Engineer', 'Senior Software Engineer']",0.335821002721786,"{'data': {'extra': None, 'state': 'Lagos State', 'country': 'NG'}, 'most_recent_title': 'Editorial Assistant (NYSC)'}",REJECT_BOTTOM_20,NG,1018998,CLOSED,CONTACTED,1000167.0
30,1018963,"['Field Officer', 'Field Officer', 'APHIA Plus contact person', 'Field Officer', 'Researcher and Consultant', 'Program Support Intern', 'Executive Director and Founder', 'Country Lead & Program Manager', 'Social Impact Manager']",0.521367788314819,"{'data': {'extra': None, 'state': None, 'country': 'ZA'}, 'most_recent_title': 'Management Trainee'}",ACCEPT_70_TO_100,ZA,1018963,CLOSED,SCREENING,1000171.0
31,1010234,['senior full stack .net developer'],0.56098735332489,"{'data': {'extra': None, 'state': 'Kigali City', 'country': 'RW'}, 'most_recent_title': 'Assistant Lecturer'}",ACCEPT_70_TO_100,RW,1010234,ACTIVE,SHORTLISTED,1000094.0
32,1010236,"['Application Support Engineer', 'Senior Web Developer', 'Senior Software Engineer']",0.397966682910919,"{'data': {'extra': None, 'state': None, 'country': 'ZA'}, 'most_recent_title': 'Trainee Accountant - Audit Senior Assistant'}",REJECT_20_TO_50,ZA,1010236,ACTIVE,SHORTLISTED,1000094.0
33,1020180,"['Audit Associate', 'Assistant Manager II, Audit.', 'Senior Finance Executive', 'Finance Manager']",0.390015423297882,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Field Officer, Mentor and '}",REJECT_50_TO_70,KE,1020180,CLOSED,SCREENING,1000079.0
34,1020190,"['Software Engineer', 'Software Developer', 'Software Engineer', 'Software Engineer', 'Frontend Consultant', 'Frontend Engineer']",0.449177831411361,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Software Engineer'}",ACCEPT_70_TO_100,KE,1020190,CLOSED,INTERVIEWING,1000183.0
35,1020261,"['Data Scientist', 'Data Collector', 'Data', 'Associate Engineer: Cloud']",0.191491618752479,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Assistant Accountant'}",REJECT_50_TO_70,KE,1020261,ACTIVE,CONTACTED,1000182.0
36,1018423,"['Intern', 'Inventory Controller', 'Fleet Management Coordinator', 'Spare Parts Manager', 'Warehouse Parts Manager- East Africa', 'Business Development Manager', 'Head of Operations & Supply Chain']",0.255870699882507,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Human Resource Associate'}",REJECT_50_TO_70,KE,1018423,CLOSED,SCREENING,1000163.0
37,1021756,"['School Counselor', 'Addiction Counselor', 'Customer Service Manager', 'Consultant and Trainer', 'Business Manager']",0.390803933143615,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Marketing Assistant'}",REJECT_BOTTOM_20,ZA,1021756,CLOSED,SCREENING,1000186.0
38,1018425,"['Product Development Assistant', 'Customer Relations Officer', 'Logistics, Warehouse and Supply Chain Officer', 'Logistics and Warehouse Supervisor', 'Customs Intern', 'Supplies, Warehouse and Operations Lead', 'Technical Logistics Officer']",0.31605052947998,"{'data': {'extra': None, 'state': 'nairobi area', 'country': 'KE'}, 'most_recent_title': 'accountant'}",ACCEPT_70_TO_100,KE,1018425,CLOSED,CONTACTED,1000163.0
39,1018716,"['Web Developer', 'Senior Software Engineer', 'Teacher', 'Senior Frontend Developer', 'Software Engineer', 'Senior Software Engineer', 'Backend Software Engineer ', 'Founder']",0.398037075996398,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Intern'}",REJECT_20_TO_50,NG,1018716,CLOSED,CONTACTED,1000167.0
40,1018797,"['Senior Security Consultant', 'Manager Information Security', 'Head of Cybersecurity Operations', 'Practice Lead Cybersecurity - Europe, Middle East & Africa (EMEA)', 'Security Solutions Architect - Sub Saharan Africa (SSA)']",0.170901417732238,"{'data': {'extra': None, 'state': 'Nairobi County', 'country': 'KE'}, 'most_recent_title': 'Senior Consultant'}",REJECT_50_TO_70,KE,1018797,CLOSED,CONTACTED,1000109.0
41,1018891,"['Sales Team Lead', 'Marketing Manager', 'Marketing Manager (Kenya)', 'Sales Manager', 'Country Sales Manager', 'Marketing Manager--Kenya', 'Lead Generator']",0.249421030282974,"{'data': {'extra': None, 'state': 'Uttar Pradesh', 'country': 'IN'}, 'most_recent_title': 'ACCOUNTS/FINANCE EXECUTIVE'}",REJECT_BOTTOM_20,IN,1018891,CLOSED,SCREENING,1000171.0
42,1010317,"['Fixed Network Engineer', 'OSS Lead Engineer', 'Non Exec Director & Advisor ', 'Executive Director', 'Adjunct Faculty', 'Chief Operating Officer', 'Co-Founder', 'Ecosystem Partner', 'Chief Operating Officer & Co Founder', 'Advisor', 'Technology Lead - ABC', 'Solutions Lead']",0.210379779338836,"{'data': {'extra': None, 'state': 'Lagos State', 'country': 'ng'}, 'most_recent_title': 'Back End Developer'}",ACCEPT_70_TO_100,ng,1010317,PAUSED,INTERVIEWING,1000109.0
43,1014287,"['Audit Clerk', 'Industrial Trainee', 'Graduate Engineering Trainee', 'Production and Maintenance Engineer', 'Production and Maintenance Engineer', 'Facilities Manager', 'Facility Management Specialist']",0.424620032310485,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Partner'}",REJECT_50_TO_70,ZA,1014287,PAUSED,SCREENING,1000143.0
44,1014289,"['Audio, Video and Print Editor', 'Young Leader (Project based)', 'Projects Associate (Customer Experience, Relations and Communications)', 'Projects Associate (Marketing and Business Development)', 'Special Projects (Donor Relations)', 'Brand and Marketing Operations Associate', 'Marketing, Branding & Communication Consultant', 'Product Marketing Associate', 'Key Accounts Manager - Kenya']",0.426998138427734,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Software Engineer'}",REJECT_20_TO_50,NG,1014289,PAUSED,SCREENING,1000119.0
45,1018447,"['Local Reporter', 'Research Assistant, International Security Department', 'Project Management Intern at GIZ African Union Office', 'Policy Intern with MEP Franziska Brantner (Greens/EFA)', 'Policy Consulting Intern with the Peace and Security Unit', 'Independent Consultant (consultante externe)', '(Junior) Project Coordinator and Policy Advisor Peace and Security in Africa', 'Planning Officer Peace and Security', 'Human Rights Advisor', 'Associate Human Rights Officer', 'Human Rights Officer', 'Planning Officer Human Rights']",0.392794996500015,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'Enterprise Sales Eurowest'}",REJECT_20_TO_50,US,1018447,CLOSED,CONTACTED,1000118.0
46,1018488,"['Trainer', 'Country Director', 'Grants Manager', 'Founder & Ceo', 'Business Development Manager', 'Youth Mobility Specialist', 'Senior Innovations Manager', 'Technical Support Specialist-Enterprise and Savings Lead', 'County Program Manager-GDI Consortium-Kenya Social Economic Inclusion Project (World Bank & GoK)']",0.439765095710754,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Warehouse and Inventory Supervisor, '}",ACCEPT_70_TO_100,KE,1018488,CLOSED,CONTACTED,1000169.0
47,1018960,"['Software Consultant', 'Software Developer', 'Software Developer', 'Software Developer', 'Senior Software Engineer', 'Software Engineering Manager']",0.4497971534729,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'Human Resources Administrative Assistant'}",REJECT_50_TO_70,US,1018960,CLOSED,CONTACTED,1000173.0
48,1018993,"['Front-end developer', 'Web Developer', 'Information Technology Consultant', 'AUTOMATION EXECUTIVE', 'Founder and CEO Unisale Marketplace kenya', 'Software Developer', 'Programming Tutor', 'Founder and Content Writer Unboundedmediainc.com']",0.427263796329498,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': '4 - 5 Year Old Teacher'}",REJECT_50_TO_70,ZA,1018993,CLOSED,CONTACTED,1000173.0
49,1020189,"['I.T support', 'Systems support', 'Digital Strategist', 'Software Development Engineer', 'Software Engineering Consultant', 'Front End software engineer', 'Lead Web Developer', 'Software Engineer', 'Full Stack Engineer']",0.365951001644134,"{'data': {'extra': None, 'state': 'Federal Territory of Kuala Lumpur', 'country': 'MY'}, 'most_recent_title': 'Associate Consultant'}",REJECT_50_TO_70,MY,1020189,CLOSED,CONTACTED,1000183.0
50,1018665,"['Senior Project Administrator', 'Program Administrator', 'Grants Manager', 'Director, Business Development & Communications', 'Head of Fundraising & Partnerships']",0.450314104557037,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'marketing executive'}",ACCEPT_70_TO_100,KE,1018665,CLOSED,CONTACTED,1000169.0
51,1018478,"['Production and Training Manager', 'Farm Manager', 'Production Manager']",0.544585227966308,"{'data': {'extra': None, 'state': None, 'country': 'MZ'}, 'most_recent_title': 'Manager'}",ACCEPT_70_TO_100,MZ,1018478,PAUSED,CONTACTED,1000153.0
52,1018473,"['Retail Relationship Officer', 'Relationship Officer', 'Relationship Manager', 'Business Development and Product Manager', 'Senior Business Development and Partnership Manager']",0.38591131567955,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Environmental Intern'}",ACCEPT_70_TO_100,KE,1018473,CLOSED,SCREENING,1000160.0
53,1018455,"['Sales Captain', 'Founder & Chief Student Headhunter', 'Founder and Growth Manager', 'Advisor', 'Partner & Doppio Chief', 'Head Of Business', 'Partnerships Manager', 'Partnership Manager']",0.293604791164398,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'management accounts intern'}",REJECT_50_TO_70,KE,1018455,CLOSED,CONTACTED,1000169.0
54,1018464,"['Mobile & Web Developer', 'President/Coordinator ', 'Chemical Engineering Intern', 'Mobile & Web Developer', 'Process Engineering Intern', 'Mobile Engineer', 'Chief Technology Officer & Senior Developer', 'Operations Manager & Software Engineer']",0.205820947885513,"{'data': {'extra': None, 'state': None, 'country': 'RW'}, 'most_recent_title': 'Operations assistant '}",REJECT_BOTTOM_20,RW,1018464,CLOSED,CONTACTED,1000123.0
55,1018525,"['Assistance Facilty Engineer (NYSC – Primary Assignment)', 'Facility Maintenance Engineer', 'Facility Manager', 'FACILITY  MANAGER', 'FACILITY / OPERATION MANAGER']",0.5786058902740471,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Reporting Administrator'}",ACCEPT_70_TO_100,ZA,1018525,PAUSED,CONTACTED,1000143.0
56,1018743,"['Registration Clerk/Presiding Officer/Voter Facilitator', 'Intern/Contract', 'Accountant', 'Branch Operations Officer', 'Trade Finance & Reconciliations Officer', 'Senior Trade Consultant', 'Personal Financial Advisor', 'WBAF International Partner ']",0.292147696018219,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'System Developer'}",REJECT_BOTTOM_20,KE,1018743,CLOSED,CONTACTED,1000171.0
57,1021757,"['Programs Officer, ', 'Corporate Communications Officer', 'Head of Human Resources', 'HR Consultant / Headhunter ', 'Senior Recruiting Manager']",0.426293045282363,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'IT Manager'}",REJECT_BOTTOM_20,KE,1021757,ACTIVE,CONTACTED,1000186.0
58,1018888,"['Internship', 'Claims Analyst', 'Business Development Executive', 'Business Development Executive', 'Corporate Sales Manager & IPMI']",0.347526103258132,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'School Counselor'}",REJECT_20_TO_50,KE,1018888,CLOSED,CONTACTED,1000171.0
59,1020855,"['High School Science Teacher', 'Mathematics Teacher']",0.195565536618232,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Web Developer | Frontend Development, Backend Development'}",REJECT_50_TO_70,KE,1020855,CLOSED,SCREENING,1000182.0
60,1018480,"['clerk', 'logistic assistant warehousing', 'logistics assistant']",0.282828211784362,"{'data': {'extra': None, 'state': 'Khyber Pakhtunkhwa', 'country': 'PK'}, 'most_recent_title': 'Kaggle Expert'}",ACCEPT_70_TO_100,PK,1018480,CLOSED,CONTACTED,1000163.0
61,1014300,"['Business Operations Analyst', 'Data Entry Specialist', 'Trainee ', 'Marketing Research Analyst (NJFP)', 'IBM I.T Experience Skills Build Learning Program ', 'Data visualization Associate ']",0.353548377752304,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Candidate Attorney | Legal Practitioner '}",ACCEPT_70_TO_100,ZA,1014300,ACTIVE,INTERVIEWING,1000142.0
62,1010376,"['Web Developer', 'Fullstack Web Developer', 'Fulltime Backend Developer At ItScope', 'Back End Developer', 'Chief Executive Officer', 'Senior Back End Developer', 'Senior Backend Developer', 'Lead Backend Developer']",0.400014489889144,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Marketing Agent'}",ACCEPT_70_TO_100,KE,1010376,ACTIVE,INTERVIEWING,1000116.0
63,23034,"['Customer Service Specialist/KYC Compliance Officer', 'M365 Technical Support Engineer']",0.158719792962074,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Key Account Manager'}",REJECT_BOTTOM_20,KE,23034,SUCCESS,PROBATION_PASSED,721.0
64,1010189,['senior audit officer'],0.351035684347152,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Brand Manager'}",REJECT_20_TO_50,KE,1010189,PAUSED,SCREENING,1000103.0
65,1010502,"['Sales Rep', 'Loan Officer', 'APPROVAL OFFICER', 'Quality Assurance Officer', 'Internal Audit Risk and Compliance Officer']",0.24485495686531,"{'data': {'extra': None, 'state': None, 'country': 'ZA'}, 'most_recent_title': 'Sales Account Executive-South Africa'}",REJECT_50_TO_70,ZA,1010502,ACTIVE,SHORTLISTED,1000021.0
66,1010538,['software developer'],0.187865316867828,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Frontend Developer'}",REJECT_50_TO_70,KE,1010538,PAUSED,SCREENING,1000109.0
67,1010096,"['Intern', 'Officer - Funds Transfer Department', 'Officer - Treasury Back Office ', 'Supervisor - Treasury Back Office ', 'Assistant Manager', 'HEAD - AML/CFT & TRANSACTION MONITORING', 'Project Manager', 'Project Manager & Business Analyst - Finance']",0.228553116321563,"{'data': {'extra': None, 'state': 'western cape', 'country': 'ZA'}, 'most_recent_title': 'digital marketing specialist'}",REJECT_50_TO_70,ZA,1010096,PAUSED,INTERVIEWING,1000084.0
68,1010301,"['Proprietor & Consultant', 'Graphic and Web Designer', 'Front End Developer', 'Senior Software Engineer', 'Solutions Architect', 'Information Technology Consultant', 'Software Delivery Manager', 'Technical Lead / Architect']",0.139568552374839,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Software Developer'}",REJECT_20_TO_50,KE,1010301,ACTIVE,INTERVIEWING,1000109.0
69,1018869,"['Investment manager-property', 'Investment Manager|Portfolio Management|Asset Allocation|Financial Modelling|Financial Accounting', 'Senior Investment Manager| Transaction Advisory| Investment Strategy| Asset allocation', 'Investment manager-Portfolios | Team Leader| IC Reporting | FP&A| Investment Performance', 'Board Member', 'Head of Investments| PE| Investment Strategy| Asset Management| Financial modelling &Analysis ', 'Member', 'Chief Investment Officer|Asset Management|Strategy| Leadership']",0.427194595336914,"{'data': {'extra': None, 'state': 'Western Cape', 'country': 'ZA'}, 'most_recent_title': 'HR Intern (Ecommerce Division)'}",ACCEPT_70_TO_100,ZA,1018869,CLOSED,SCREENING,1000162.0
70,1019432,"['Marketing Consultant', 'Rope Access Technology', 'Kasahorow Programmer', 'Lead Consultant/Product Manager', 'Itsekiri Language Manager', 'New Media Services', 'Manager (Management Consulting Services)', 'Facilitator', 'Senior HR Sourcing Specialist ', 'Fellow', 'Country Sales Partner', 'Talent Sourcer']",0.200911924242973,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'SAP FICO Consultant'}",REJECT_20_TO_50,KE,1019432,CLOSED,SCREENING,1000169.0
71,1018607,"['Junior Consultant', 'New Development Manager and Project Coordinator ', 'Senior Business Development Consultant', 'Senior Consultant', 'Project Coordinator', 'Programme Manager', 'Global Entrepreneurship and Innovation Coordinator']",0.440394639968872,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Procurement Co-Ordinator'}",ACCEPT_70_TO_100,ZA,1018607,CLOSED,SCREENING,1000169.0
72,1018623,"['Intern (Information Technology Department, Network and End User Support Division)', 'Google Policy Fellow', 'Administrative Professional', 'Operations Manager, ShelfLife']",0.259814798831939,"{'data': {'extra': None, 'state': 'Karnataka', 'country': 'IN'}, 'most_recent_title': 'Tool Engineer '}",REJECT_20_TO_50,IN,1018623,CLOSED,SCREENING,1000169.0
73,1019021,"['key account sales manager', 'administrative assistant', 'regional projects coordinator', 'advisor', 'project manager']",0.307339400053024,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Bank Officer'}",REJECT_50_TO_70,KE,1019021,CLOSED,SCREENING,1000169.0
74,1019450,"['ASSOCIATE DIRECTOR-INTERNATIONAL BUSINESS DEVELOPMENT', 'Center Director', 'DEPUTY DIRECTOR-Resource Mobilization, Fundraising and Partnerships', 'Program Manager', 'Trainings and Conferences']",0.472276419401168,"{'data': {'extra': None, 'state': None, 'country': 'US'}, 'most_recent_title': 'senior java software engineer'}",ACCEPT_70_TO_100,US,1019450,CLOSED,SCREENING,1000171.0
75,1018930,"['System Analyst & Client support', 'Senior Support & Implementation Engineer / Project Manager', 'Delivery Manager Avaya', 'Delivery / Project Manager.', 'Senior Technical Projects Manager MFS (Branded Reseller)', 'Technical Account Director']",0.379943162202835,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Human Resource Payroll Officer'}",REJECT_20_TO_50,KE,1018930,CLOSED,SCREENING,1000171.0
